PFP client version: 1.6.1
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
****************************************
Examining NCM523 ...
  Importing initial (known) stable/unstable structures ...
  Supercell size: 5 × 4 × 1
  Number of atoms (perfect): 240
  Cell parameters (a, b, c): 2.880780, 2.890300, 14.150000
Estimating energy range ...
  NOTE: Energy range is estimated from imported structures!
  Energy range (min, max): -1083.319505, -1068.137526
Performing Wang-Landau MCMC sampling ...
  Number of energy states: 60
  Energy spacing (eV): 0.257322
  Histogram flatness threshold: 0.8
  Initial modification factor: 2.718282
  Modification factor threshold: 1.00e-06
  Number of F-iterations: 0 + 19
  F-Iteration: 0 	F = 2.718282
  F-Iteration: 1 	MC-Sweep: 659100 	Time(s): 203869.386360
  Cumulative number of energy calculations: 1291205
  F-Iteration: 2 	F = 1.284025
  F-Iteration: 2 	MC-Sweep: 0 	Time(s): 203870.149094
  F-Iteration: 2 	MC-Sweep: 10000 	Time(s): 206000.295528
  F-Iteration: 2 	MC-Sweep: 20000 	Time(s): 207947.205673
  F-Iteration: 2 	MC-Sweep: 30000 	Time(s): 210041.281930
  F-Iteration: 2 	MC-Sweep: 40000 	Time(s): 211857.496611
  F-Iteration: 2 	MC-Sweep: 50000 	Time(s): 213897.096008
  F-Iteration: 2 	MC-Sweep: 60000 	Time(s): 215661.276795
  F-Iteration: 2 	MC-Sweep: 70000 	Time(s): 217446.400259
  F-Iteration: 2 	MC-Sweep: 80000 	Time(s): 219073.800383
  F-Iteration: 2 	MC-Sweep: 90000 	Time(s): 220620.982617
  F-Iteration: 2 	MC-Sweep: 100000 	Time(s): 222271.523994
  F-Iteration: 2 	MC-Sweep: 110000 	Time(s): 223873.128452
  F-Iteration: 2 	MC-Sweep: 120000 	Time(s): 225462.711106
  F-Iteration: 2 	MC-Sweep: 130000 	Time(s): 227048.062358
  F-Iteration: 2 	MC-Sweep: 140000 	Time(s): 228580.240908
  F-Iteration: 2 	MC-Sweep: 150000 	Time(s): 230149.064558
  F-Iteration: 2 	MC-Sweep: 160000 	Time(s): 231699.698973
  F-Iteration: 2 	MC-Sweep: 170000 	Time(s): 233222.299280
  F-Iteration: 2 	MC-Sweep: 180000 	Time(s): 234751.381205
  F-Iteration: 2 	MC-Sweep: 190000 	Time(s): 236376.329079
  F-Iteration: 2 	MC-Sweep: 196300 	Time(s): 237308.661035
  Cumulative number of energy calculations: 1487506
  F-Iteration: 3 	F = 1.133148
  F-Iteration: 3 	MC-Sweep: 0 	Time(s): 237309.390383
  F-Iteration: 3 	MC-Sweep: 10000 	Time(s): 238762.581371
  F-Iteration: 3 	MC-Sweep: 20000 	Time(s): 240207.225980
  F-Iteration: 3 	MC-Sweep: 30000 	Time(s): 241647.315516
  F-Iteration: 3 	MC-Sweep: 40000 	Time(s): 243088.146993
  F-Iteration: 3 	MC-Sweep: 50000 	Time(s): 244541.341121
  F-Iteration: 3 	MC-Sweep: 60000 	Time(s): 245983.894892
  F-Iteration: 3 	MC-Sweep: 70000 	Time(s): 247434.082328
  F-Iteration: 3 	MC-Sweep: 80000 	Time(s): 248884.134656
  F-Iteration: 3 	MC-Sweep: 90000 	Time(s): 250334.934955
  F-Iteration: 3 	MC-Sweep: 100000 	Time(s): 251785.562660
  F-Iteration: 3 	MC-Sweep: 110000 	Time(s): 253244.926841
  F-Iteration: 3 	MC-Sweep: 120000 	Time(s): 254698.554591
