Executed on: 2023-09-26 01:12:58.547256
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM523 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.880780, 2.890300, 14.150000
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1083.319505, -1068.137526
    Number of energy states: 60
    Energy spacing (eV): 0.257322
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 01740000 	Time(s): 728956.215314
    -- MCMC Step: 01750000 	Time(s): 733708.136162
    -- MCMC Step: 01760000 	Time(s): 738492.317086
    -- MCMC Step: 01770000 	Time(s): 743025.621729
    -- MCMC Step: 01780000 	Time(s): 747532.994377
    -- MCMC Step: 01790000 	Time(s): 751821.144879
    -- MCMC Step: 01800000 	Time(s): 755902.149449
    -- MCMC Step: 01810000 	Time(s): 760003.913645
    -- MCMC Step: 01820000 	Time(s): 764065.274318
    -- MCMC Step: 01830000 	Time(s): 768135.312556
    -- MCMC Step: 01840000 	Time(s): 772135.623315
    -- MCMC Step: 01850000 	Time(s): 776079.874512
    -- MCMC Step: 01860000 	Time(s): 779599.073415
    -- MCMC Step: 01870000 	Time(s): 783116.095747
    -- MCMC Step: 01880000 	Time(s): 786658.619333
    -- MCMC Step: 01890000 	Time(s): 790221.963296
    -- MCMC Step: 01900000 	Time(s): 793965.459113
    -- MCMC Step: 01910000 	Time(s): 797896.035190
    -- MCMC Step: 01920000 	Time(s): 801672.779265
    -- MCMC Step: 01930000 	Time(s): 805645.600313
    -- MCMC Step: 01940000 	Time(s): 809525.036518
    -- MCMC Step: 01950000 	Time(s): 813605.245075
    -- MCMC Step: 01960000 	Time(s): 817551.251008
    -- MCMC Step: 01970000 	Time(s): 821417.228832
    -- MCMC Step: 01980000 	Time(s): 825240.006368
    -- MCMC Step: 01990000 	Time(s): 829056.658656
    -- MCMC Step: 02000000 	Time(s): 832918.393632
    -- MCMC Step: 02010000 	Time(s): 836749.639171
    -- MCMC Step: 02020000 	Time(s): 840554.615522
    -- MCMC Step: 02030000 	Time(s): 844405.180221
    -- MCMC Step: 02040000 	Time(s): 848247.665394
    -- MCMC Step: 02050000 	Time(s): 852063.226874
    -- MCMC Step: 02060000 	Time(s): 855799.884382
    -- MCMC Step: 02070000 	Time(s): 859556.199809
    -- MCMC Step: 02080000 	Time(s): 863500.215709
    -- MCMC Step: 02090000 	Time(s): 866906.749264
    -- MCMC Step: 02100000 	Time(s): 869922.228354
    -- MCMC Step: 02110000 	Time(s): 873439.194722
    -- MCMC Step: 02120000 	Time(s): 876810.748230
    -- MCMC Step: 02130000 	Time(s): 879965.112716
    -- MCMC Step: 02140000 	Time(s): 883088.890272
    -- MCMC Step: 02150000 	Time(s): 886387.356817
    -- MCMC Step: 02160000 	Time(s): 889641.441973
    -- MCMC Step: 02170000 	Time(s): 892904.725591
    -- MCMC Step: 02180000 	Time(s): 896257.729871
    -- MCMC Step: 02190000 	Time(s): 900029.244376
    -- MCMC Step: 02200000 	Time(s): 903783.725135
    -- MCMC Step: 02210000 	Time(s): 907633.623171
    -- MCMC Step: 02220000 	Time(s): 911519.643238
    -- MCMC Step: 02230000 	Time(s): 915422.983096
    -- MCMC Step: 02240000 	Time(s): 919231.018029
    -- MCMC Step: 02250000 	Time(s): 923119.895004
    -- MCMC Step: 02260000 	Time(s): 927048.650015
    -- MCMC Step: 02270000 	Time(s): 930937.776511
    -- MCMC Step: 02280000 	Time(s): 934882.858070
    -- MCMC Step: 02290000 	Time(s): 938836.914163
    -- MCMC Step: 02300000 	Time(s): 942751.316302
    -- MCMC Step: 02310000 	Time(s): 946653.471086
    -- MCMC Step: 02320000 	Time(s): 950596.364827
    -- MCMC Step: 02330000 	Time(s): 954525.247252
    -- MCMC Step: 02340000 	Time(s): 958454.849597
    -- MCMC Step: 02350000 	Time(s): 962381.709005
    -- MCMC Step: 02360000 	Time(s): 966313.991507
