Executed on: 2023-09-28 08:56:33.443213
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM622 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.873440, 2.877225, 14.130600
    Structural parameter range (min, max): 0.000000, 1.000000
    Number of discrete structural parameters: 120
    Structural parameter spacing: 0.008403
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1075.388829, -1064.828767
    Number of energy states: 60
    Energy spacing (eV): 0.178984
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 03180000 	Time(s): 1113220.194105
    -- MCMC Step: 03190000 	Time(s): 1116828.994203
    -- MCMC Step: 03200000 	Time(s): 1120588.983082
    -- MCMC Step: 03210000 	Time(s): 1124336.185943
    -- MCMC Step: 03220000 	Time(s): 1128061.704310
    -- MCMC Step: 03230000 	Time(s): 1131724.926002
    -- MCMC Step: 03240000 	Time(s): 1135336.999723
    -- MCMC Step: 03250000 	Time(s): 1138808.019860
    -- MCMC Step: 03260000 	Time(s): 1142278.099647
    -- MCMC Step: 03270000 	Time(s): 1145933.368574
    -- MCMC Step: 03280000 	Time(s): 1149576.622708
    -- MCMC Step: 03290000 	Time(s): 1153206.592376
    -- MCMC Step: 03300000 	Time(s): 1156857.834809
    -- MCMC Step: 03310000 	Time(s): 1160342.386632
    -- MCMC Step: 03320000 	Time(s): 1163749.708872
    -- MCMC Step: 03330000 	Time(s): 1167165.848164
    -- MCMC Step: 03340000 	Time(s): 1170603.109144
    -- MCMC Step: 03350000 	Time(s): 1173858.544826
    -- MCMC Step: 03360000 	Time(s): 1177110.716106
    -- MCMC Step: 03370000 	Time(s): 1180343.711896
    -- MCMC Step: 03380000 	Time(s): 1183704.695358
    -- MCMC Step: 03390000 	Time(s): 1187042.013869
    -- MCMC Step: 03400000 	Time(s): 1190407.885507
    -- MCMC Step: 03410000 	Time(s): 1193869.658196
    -- MCMC Step: 03420000 	Time(s): 1197271.641348
    -- MCMC Step: 03430000 	Time(s): 1200654.104865
    -- MCMC Step: 03440000 	Time(s): 1203937.004486
    -- MCMC Step: 03450000 	Time(s): 1207536.484481
    -- MCMC Step: 03460000 	Time(s): 1211224.457376
    -- MCMC Step: 03470000 	Time(s): 1214893.042483
    -- MCMC Step: 03480000 	Time(s): 1218588.675838
    -- MCMC Step: 03490000 	Time(s): 1222202.036571
    -- MCMC Step: 03500000 	Time(s): 1225800.447435
    -- MCMC Step: 03510000 	Time(s): 1229360.368124
    -- MCMC Step: 03520000 	Time(s): 1232805.445621
    -- MCMC Step: 03530000 	Time(s): 1236088.372430
    -- MCMC Step: 03540000 	Time(s): 1239271.197373
    -- MCMC Step: 03550000 	Time(s): 1242390.544152
    -- MCMC Step: 03560000 	Time(s): 1245518.881292
    -- MCMC Step: 03570000 	Time(s): 1248632.760442
    -- MCMC Step: 03580000 	Time(s): 1251673.241819
    -- MCMC Step: 03590000 	Time(s): 1254683.919580
    -- MCMC Step: 03600000 	Time(s): 1257687.111556
    -- MCMC Step: 03610000 	Time(s): 1260721.285257
    -- MCMC Step: 03620000 	Time(s): 1263823.317311
    -- MCMC Step: 03630000 	Time(s): 1266762.554325
    -- MCMC Step: 03640000 	Time(s): 1270193.151460
    -- MCMC Step: 03650000 	Time(s): 1274280.773139
    -- MCMC Step: 03660000 	Time(s): 1278516.617586
    -- MCMC Step: 03670000 	Time(s): 1282783.676924
    -- MCMC Step: 03680000 	Time(s): 1287082.399186
    -- MCMC Step: 03690000 	Time(s): 1291211.622244
    -- MCMC Step: 03700000 	Time(s): 1295252.671429
    -- MCMC Step: 03710000 	Time(s): 1299215.545904
