Executed on: 2023-09-18 02:40:43.125852
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM811 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.874400, 2.878125, 14.114900
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1058.411566, -1054.392101
    Number of energy states: 60
    Energy spacing (eV): 0.068127
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 01430000 	Time(s): 302102.536070
    -- MCMC Step: 01440000 	Time(s): 304449.597785
    -- MCMC Step: 01450000 	Time(s): 306794.974753
    -- MCMC Step: 01460000 	Time(s): 309175.164061
    -- MCMC Step: 01470000 	Time(s): 311572.938096
    -- MCMC Step: 01480000 	Time(s): 313971.225703
    -- MCMC Step: 01490000 	Time(s): 316371.821120
    -- MCMC Step: 01500000 	Time(s): 318750.308698
    -- MCMC Step: 01510000 	Time(s): 321125.142740
    -- MCMC Step: 01520000 	Time(s): 323484.291640
    -- MCMC Step: 01530000 	Time(s): 325866.538293
    -- MCMC Step: 01540000 	Time(s): 328240.712820
    -- MCMC Step: 01550000 	Time(s): 330624.525369
    -- MCMC Step: 01560000 	Time(s): 333050.453397
    -- MCMC Step: 01570000 	Time(s): 335504.375992
    -- MCMC Step: 01580000 	Time(s): 337952.110662
    -- MCMC Step: 01590000 	Time(s): 340389.305370
    -- MCMC Step: 01600000 	Time(s): 342822.501056
    -- MCMC Step: 01610000 	Time(s): 345248.896348
    -- MCMC Step: 01620000 	Time(s): 347452.597462
    -- MCMC Step: 01630000 	Time(s): 349345.425658
